url,timestamp,text_length,file_path
https://www.csulb.edu/news/article/csulb-prepares-counseling-psychology-grads-to-meet-the-mental-health-shortage,2025-11-26,8861,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Farticle%2Fcsulb-prepares-counseling-psychology-grads-to-meet-the-mental-health-shortage.txt
https://www.csulb.edu/college-of-health-human-services,2025-11-26,25033,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-health-human-services.txt
https://www.csulb.edu/contact,2025-11-26,2764,./data/https%3A%2F%2Fwww.csulb.edu%2Fcontact.txt
https://www.csulb.edu/news/article/csu-trustees-to-consider-csulb-pyramid-naming,2025-11-26,8022,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Farticle%2Fcsu-trustees-to-consider-csulb-pyramid-naming.txt
https://www.csulb.edu/student-affairs/pregnant-and-parenting-students,2025-11-26,7577,./data/https%3A%2F%2Fwww.csulb.edu%2Fstudent-affairs%2Fpregnant-and-parenting-students.txt
https://www.csulb.edu/news/event/winter-festival,2025-11-26,2098,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Fevent%2Fwinter-festival.txt
https://www.csulb.edu/site-index?utm_source=website&utm_medium=homepage&utm_content=footerlink&utm_campaign=web,2025-11-26,17803,./data/https%3A%2F%2Fwww.csulb.edu%2Fsite-index%3Futm_source%3Dwebsite%26utm_medium%3Dhomepage%26utm_content%3Dfooterlink%26utm_campaign%3Dweb.txt
https://www.csulb.edu/student-records/tuition-and-fees,2025-11-26,30649,./data/https%3A%2F%2Fwww.csulb.edu%2Fstudent-records%2Ftuition-and-fees.txt
https://www.csulb.edu/news/article/csulb-emerges-as-a-top-training-ground-for-californias-city-managers,2025-11-26,9415,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Farticle%2Fcsulb-emerges-as-a-top-training-ground-for-californias-city-managers.txt
https://www.csulb.edu/beach-shops,2025-11-26,4761,./data/https%3A%2F%2Fwww.csulb.edu%2Fbeach-shops.txt
https://www.csulb.edu/news/article/csulb-alumna-works-toward-saving-an-indigenous-language-and-culture,2025-11-26,8873,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Farticle%2Fcsulb-alumna-works-toward-saving-an-indigenous-language-and-culture.txt
https://www.csulb.edu/sustainability,2025-11-26,4076,./data/https%3A%2F%2Fwww.csulb.edu%2Fsustainability.txt
https://www.csulb.edu/enrollment-services,2025-11-26,4294,./data/https%3A%2F%2Fwww.csulb.edu%2Fenrollment-services.txt
https://www.csulb.edu/news/article/csulbs-vet-net-ally-spreads-nationwide-to-help-colleges-meet-veteran-students-needs,2025-11-26,10407,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Farticle%2Fcsulbs-vet-net-ally-spreads-nationwide-to-help-colleges-meet-veteran-students-needs.txt
https://www.csulb.edu/academic-affairs/academic-affairs-calendar,2025-11-26,6513,./data/https%3A%2F%2Fwww.csulb.edu%2Facademic-affairs%2Facademic-affairs-calendar.txt
https://www.csulb.edu/employment?utm_source=website&utm_medium=homepage&utm_content=footerlink&utm_campaign=web,2025-11-26,4107,./data/https%3A%2F%2Fwww.csulb.edu%2Femployment%3Futm_source%3Dwebsite%26utm_medium%3Dhomepage%26utm_content%3Dfooterlink%26utm_campaign%3Dweb.txt
https://www.csulb.edu/news/article/csulb-fuels-24-billion-economic-activity-new-report-shows,2025-11-26,5991,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Farticle%2Fcsulb-fuels-24-billion-economic-activity-new-report-shows.txt
https://www.csulb.edu/news/article/csulb-students-train-autonomous-robots-for-real-world-rescue,2025-11-26,9421,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Farticle%2Fcsulb-students-train-autonomous-robots-for-real-world-rescue.txt
https://www.csulb.edu/space-beach-initiative,2025-11-26,4132,./data/https%3A%2F%2Fwww.csulb.edu%2Fspace-beach-initiative.txt
https://www.csulb.edu/college-of-business,2025-11-26,5722,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-business.txt
https://www.csulb.edu/academic-affairs/colleges-departments,2025-11-26,11529,./data/https%3A%2F%2Fwww.csulb.edu%2Facademic-affairs%2Fcolleges-departments.txt
https://www.csulb.edu/college-of-education,2025-11-26,7595,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-education.txt
https://www.csulb.edu/news/article/professor-robert-schug-music-mayhem-and-the-myths-of-true-crime,2025-11-26,9878,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Farticle%2Fprofessor-robert-schug-music-mayhem-and-the-myths-of-true-crime.txt
https://www.csulb.edu/university-policies,2025-11-26,2849,./data/https%3A%2F%2Fwww.csulb.edu%2Funiversity-policies.txt
https://www.csulb.edu/news/article/ranked-no-3-aerospace-and-fueled-new-grant-csulb-equips-engineers-for-space-race,2025-11-26,10150,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Farticle%2Franked-no-3-aerospace-and-fueled-new-grant-csulb-equips-engineers-for-space-race.txt
https://www.csulb.edu/news?utm_source=website&utm_medium=homepage&utm_content=footerlink&utm_campaign=web,2025-11-26,5520,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%3Futm_source%3Dwebsite%26utm_medium%3Dhomepage%26utm_content%3Dfooterlink%26utm_campaign%3Dweb.txt
https://www.csulb.edu/administration-finance,2025-11-26,4659,./data/https%3A%2F%2Fwww.csulb.edu%2Fadministration-finance.txt
https://www.csulb.edu/graduate-studies,2025-11-26,6320,./data/https%3A%2F%2Fwww.csulb.edu%2Fgraduate-studies.txt
https://www.csulb.edu/enforcement-actions-campus,2025-11-26,3345,./data/https%3A%2F%2Fwww.csulb.edu%2Fenforcement-actions-campus.txt
https://www.csulb.edu/alert,2025-11-26,1835,./data/https%3A%2F%2Fwww.csulb.edu%2Falert.txt
https://www.csulb.edu/community,2025-11-26,2399,./data/https%3A%2F%2Fwww.csulb.edu%2Fcommunity.txt
https://www.csulb.edu/university-police,2025-11-26,6384,./data/https%3A%2F%2Fwww.csulb.edu%2Funiversity-police.txt
https://www.csulb.edu/apply,2025-11-26,3625,./data/https%3A%2F%2Fwww.csulb.edu%2Fapply.txt
https://www.csulb.edu/equity-compliance/csu-non-discrimination-statement,2025-11-26,7310,./data/https%3A%2F%2Fwww.csulb.edu%2Fequity-compliance%2Fcsu-non-discrimination-statement.txt
http://www.csulb.edu/kleefeldcontemporary,2025-11-26,2778,./data/http%3A%2F%2Fwww.csulb.edu%2Fkleefeldcontemporary.txt
http://specialevents.csulb.edu/MasterCalendar/MasterCalendar.aspx,2025-11-26,994,./data/http%3A%2F%2Fspecialevents.csulb.edu%2FMasterCalendar%2FMasterCalendar.aspx.txt
https://www.csulb.edu/long-beach-state-foundation,2025-11-26,2495,./data/https%3A%2F%2Fwww.csulb.edu%2Flong-beach-state-foundation.txt
https://www.csulb.edu/student-affairs/campus-assessment-stabilization-team,2025-11-26,4706,./data/https%3A%2F%2Fwww.csulb.edu%2Fstudent-affairs%2Fcampus-assessment-stabilization-team.txt
https://www.csulb.edu/college-of-natural-sciences-and-mathematics,2025-11-26,5646,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-natural-sciences-and-mathematics.txt
https://www.csulb.edu/college-of-the-arts/article/4-csulb-alums-named-to-interior-design-magazine-30-under-30-list,2025-11-26,2678,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Farticle%2F4-csulb-alums-named-to-interior-design-magazine-30-under-30-list.txt
https://www.csulb.edu/design,2025-11-26,12865,./data/https%3A%2F%2Fwww.csulb.edu%2Fdesign.txt
https://www.csulb.edu/college-of-the-arts/donors,2025-11-26,3975,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Fdonors.txt
https://www.csulb.edu/college-of-the-arts/article/art-and-cinema-collaborate-korean-war-documentary,2025-11-26,4038,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Farticle%2Fart-and-cinema-collaborate-korean-war-documentary.txt
https://www.csulb.edu/college-of-the-arts/student-organizations,2025-11-26,4878,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Fstudent-organizations.txt
https://www.csulb.edu/dance,2025-11-26,3589,./data/https%3A%2F%2Fwww.csulb.edu%2Fdance.txt
https://www.csulb.edu/college-of-the-arts/frequently-asked-questions,2025-11-26,10001,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Ffrequently-asked-questions.txt
https://giveto.csulb.edu/cn/(S(uxcomgzoryv35lyirkm4kpsr))/?view=COA,2025-11-26,2578,./data/https%3A%2F%2Fgiveto.csulb.edu%2Fcn%2F%28S%28uxcomgzoryv35lyirkm4kpsr%29%29%2F%3Fview%3DCOA.txt
https://www.csulb.edu/college-of-the-arts/cota-deans-office-staff,2025-11-26,15359,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Fcota-deans-office-staff.txt
https://www.csulb.edu/college-of-the-arts/student-opportunities,2025-11-26,3568,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Fstudent-opportunities.txt
https://www.csulb.edu/college-of-the-arts/scholarships,2025-11-26,4512,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Fscholarships.txt
https://www.csulb.edu/college-of-the-arts/student-life,2025-11-26,4614,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Fstudent-life.txt
https://www.csulb.edu/college-of-the-arts/departments,2025-11-26,8005,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Fdepartments.txt
https://www.csulb.edu/alumni/distinguished-alumni/monica-schmidt-mitchell,2025-11-26,4134,./data/https%3A%2F%2Fwww.csulb.edu%2Falumni%2Fdistinguished-alumni%2Fmonica-schmidt-mitchell.txt
https://www.csulb.edu/college-of-the-arts/college-of-the-arts-events-0,2025-11-26,3282,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Fcollege-of-the-arts-events-0.txt
https://www.csulb.edu/college-of-the-arts/article/csulb-design-student-wins-toyota-logistics-challenge-2024,2025-11-26,5186,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Farticle%2Fcsulb-design-student-wins-toyota-logistics-challenge-2024.txt
https://www.csulb.edu/college-of-the-arts/mission-and-vision,2025-11-26,5317,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Fmission-and-vision.txt
https://giveto.csulb.edu/cn/(S(ilhmfwje4ulmcqhyusntnujg))/?view=COA,2025-11-26,2578,./data/https%3A%2F%2Fgiveto.csulb.edu%2Fcn%2F%28S%28ilhmfwje4ulmcqhyusntnujg%29%29%2F%3Fview%3DCOA.txt
https://www.csulb.edu/college-of-the-arts/news,2025-11-26,4362,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Fnews.txt
https://www.csulb.edu/school-of-art/news,2025-11-26,6664,./data/https%3A%2F%2Fwww.csulb.edu%2Fschool-of-art%2Fnews.txt
https://www.csulb.edu/news/article/its-changed-us-all-csulb-vocal-jazz-students-reflect-transformative-cuba-tour,2025-11-26,12335,./data/https%3A%2F%2Fwww.csulb.edu%2Fnews%2Farticle%2Fits-changed-us-all-csulb-vocal-jazz-students-reflect-transformative-cuba-tour.txt
https://www.csulb.edu/college-of-the-arts/academic-faculty-and-student-employment-opportunities,2025-11-26,2409,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Facademic-faculty-and-student-employment-opportunities.txt
https://www.csulb.edu/school-of-art,2025-11-26,6040,./data/https%3A%2F%2Fwww.csulb.edu%2Fschool-of-art.txt
https://www.csulb.edu/college-of-the-arts/internships-and-career-preparation,2025-11-26,4200,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Finternships-and-career-preparation.txt
https://www.csulb.edu/college-of-the-arts/contacts,2025-11-26,3316,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Fcontacts.txt
https://www.csulb.edu/college-of-the-arts/safety-college-of-the-arts,2025-11-26,4757,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Fsafety-college-of-the-arts.txt
https://www.csulb.edu/college-of-the-arts/academic-advising-college-of-the-arts,2025-11-26,4468,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Facademic-advising-college-of-the-arts.txt
https://www.csulb.edu/cinematic-arts/upcoming-events,2025-11-26,3361,./data/https%3A%2F%2Fwww.csulb.edu%2Fcinematic-arts%2Fupcoming-events.txt
https://www.csulb.edu/college-of-the-arts/program-learning-outcomes,2025-11-26,27680,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Fprogram-learning-outcomes.txt
https://www.csulb.edu/college-of-the-arts/academic-advising-college-of-the-arts/soar-summer-2025,2025-11-26,18078,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Facademic-advising-college-of-the-arts%2Fsoar-summer-2025.txt
https://www.csulb.edu/articles/55,2025-11-26,2711,./data/https%3A%2F%2Fwww.csulb.edu%2Farticles%2F55.txt
https://www.csulb.edu/theatre-arts/california-repertory-company,2025-11-26,5436,./data/https%3A%2F%2Fwww.csulb.edu%2Ftheatre-arts%2Fcalifornia-repertory-company.txt
https://www.csulb.edu/college-of-the-arts/article/animation-program-presents-double-exposure-screening-los-angeles,2025-11-26,3813,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Farticle%2Fanimation-program-presents-double-exposure-screening-los-angeles.txt
https://web.csulb.edu/colleges/cota/music/events/,2025-11-26,18152,./data/https%3A%2F%2Fweb.csulb.edu%2Fcolleges%2Fcota%2Fmusic%2Fevents%2F.txt
https://www.csulb.edu/college-of-the-arts/alumni,2025-11-26,4476,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Falumni.txt
https://web.csulb.edu/colleges/cota/music/,2025-11-26,3141,./data/https%3A%2F%2Fweb.csulb.edu%2Fcolleges%2Fcota%2Fmusic%2F.txt
https://www.csulb.edu/carolyn-campagna-kleefeld-contemporary-art-museum/look,2025-11-26,9724,./data/https%3A%2F%2Fwww.csulb.edu%2Fcarolyn-campagna-kleefeld-contemporary-art-museum%2Flook.txt
https://www.csulb.edu/college-of-the-arts/article/college-administrative-office-entrance-gets-a-refresh,2025-11-26,4919,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Farticle%2Fcollege-administrative-office-entrance-gets-a-refresh.txt
https://www.csulb.edu/cinematic-arts,2025-11-26,6952,./data/https%3A%2F%2Fwww.csulb.edu%2Fcinematic-arts.txt
https://www.csulb.edu/college-of-the-arts/center-for-contemporary-ceramics,2025-11-26,7484,./data/https%3A%2F%2Fwww.csulb.edu%2Fcollege-of-the-arts%2Fcenter-for-contemporary-ceramics.txt
https://www.csulb.edu/financial-aid-and-scholarships/how-to-apply-for-aid-newly-admitted-credential-students,2025-11-26,9310,./data/https%3A%2F%2Fwww.csulb.edu%2Ffinancial-aid-and-scholarships%2Fhow-to-apply-for-aid-newly-admitted-credential-students.txt
https://www.csulb.edu/financial-aid-and-scholarships/understanding-repeat-coursework-and-aid-eligibility,2025-11-26,6088,./data/https%3A%2F%2Fwww.csulb.edu%2Ffinancial-aid-and-scholarships%2Funderstanding-repeat-coursework-and-aid-eligibility.txt
https://www.csulb.edu/financial-aid-and-scholarships/undergraduate-costs-0,2025-11-26,8406,./data/https%3A%2F%2Fwww.csulb.edu%2Ffinancial-aid-and-scholarships%2Fundergraduate-costs-0.txt
https://www.csulb.edu/financial-aid-and-scholarships/campus-resources,2025-11-26,8983,./data/https%3A%2F%2Fwww.csulb.edu%2Ffinancial-aid-and-scholarships%2Fcampus-resources.txt
https://www.csulb.edu/financial-aid-and-scholarships/contact-financial-aid-and-scholarships,2025-11-26,9331,./data/https%3A%2F%2Fwww.csulb.edu%2Ffinancial-aid-and-scholarships%2Fcontact-financial-aid-and-scholarships.txt
